pbp_id,original_points,original_description,processed_points,processed_description,team,points_diff
324,2,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),2,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),HOU,0
327,2,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),2,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),HOU,0
331,2,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),2,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),HOU,0
348,2,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),2,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),HOU,0
358,3,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),3,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),HOU,0
366,2,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),2,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),HOU,0
384,3,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),3,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),HOU,0
388,2,Sengun 5' Driving Hook Shot (11 PTS),2,Sengun 5' Driving Hook Shot (11 PTS),HOU,0
396,1,Sengun Free Throw 1 of 2 (12 PTS),1,Sengun Free Throw 1 of 2 (12 PTS),HOU,0
399,1,Sengun Free Throw 2 of 2 (13 PTS),1,Sengun Free Throw 2 of 2 (13 PTS),HOU,0
402,3,Sengun 26' 3PT Jump Shot (16 PTS) (Brooks 2 AST),3,Sengun 26' 3PT Jump Shot (16 PTS) (Brooks 2 AST),HOU,0
406,2,Ja. Green 1' Running Reverse Layup (18 PTS) (Brooks 3 AST),2,Ja. Green 1' Running Reverse Layup (18 PTS) (Brooks 3 AST),HOU,0
420,2,Sengun 5' Turnaround Hook Shot (18 PTS),2,Sengun 5' Turnaround Hook Shot (18 PTS),HOU,0
423,2,Brooks 19' Step Back Jump Shot (9 PTS),2,Brooks 19' Step Back Jump Shot (9 PTS),HOU,0
440,2,Thompson 6' Turnaround Jump Shot (16 PTS),2,Thompson 6' Turnaround Jump Shot (16 PTS),HOU,0
458,2,Ja. Green 1' Driving Dunk (20 PTS),2,Ja. Green 1' Driving Dunk (20 PTS),HOU,0
464,2,Sengun 1' Cutting Dunk Shot (20 PTS) (Ja. Green 5 AST),2,Sengun 1' Cutting Dunk Shot (20 PTS) (Ja. Green 5 AST),HOU,0
475,2,Eason 14' Jump Shot (6 PTS),2,Eason 14' Jump Shot (6 PTS),HOU,0
486,2,Eason 1' Alley Oop Layup (8 PTS) (Ja. Green 6 AST),2,Eason 1' Alley Oop Layup (8 PTS) (Ja. Green 6 AST),HOU,0
504,2,Holiday 4' Driving Finger Roll Layup (2 PTS) (Thompson 3 AST),2,Holiday 4' Driving Finger Roll Layup (2 PTS) (Thompson 3 AST),HOU,0
535,2,Thompson 11' Pullup Jump Shot (18 PTS),2,Thompson 11' Pullup Jump Shot (18 PTS),HOU,0
539,1,Whitmore Free Throw 1 of 2 (6 PTS),1,Whitmore Free Throw 1 of 2 (6 PTS),HOU,0
542,1,Whitmore Free Throw 2 of 2 (7 PTS),1,Whitmore Free Throw 2 of 2 (7 PTS),HOU,0
571,2,Ja. Green 6' Driving Floating Bank Jump Shot (22 PTS),2,Ja. Green 6' Driving Floating Bank Jump Shot (22 PTS),HOU,0
581,2,Thompson Tip Layup Shot (20 PTS),2,Thompson Tip Layup Shot (20 PTS),HOU,0
597,2,Sengun 5' Turnaround Hook Shot (22 PTS),2,Sengun 5' Turnaround Hook Shot (22 PTS),HOU,0
604,1,Sengun Free Throw 1 of 2 (23 PTS),1,Sengun Free Throw 1 of 2 (23 PTS),HOU,0
605,1,Sengun Free Throw 2 of 2 (24 PTS),1,Sengun Free Throw 2 of 2 (24 PTS),HOU,0
613,2,Adams Tip Dunk Shot (2 PTS),2,Adams Tip Dunk Shot (2 PTS),HOU,0
625,1,Sengun Free Throw 1 of 2 (25 PTS),1,Sengun Free Throw 1 of 2 (25 PTS),HOU,0
632,2,Ja. Green 14' Step Back Jump Shot (24 PTS),2,Ja. Green 14' Step Back Jump Shot (24 PTS),HOU,0
672,1,Sengun Free Throw 1 of 2 (26 PTS),1,Sengun Free Throw 1 of 2 (26 PTS),HOU,0
678,2,Sengun 1' Driving Floating Jump Shot (28 PTS) (Thompson 4 AST),2,Sengun 1' Driving Floating Jump Shot (28 PTS) (Thompson 4 AST),HOU,0
697,2,Sengun 1' Cutting Dunk Shot (30 PTS) (Thompson 5 AST),2,Sengun 1' Cutting Dunk Shot (30 PTS) (Thompson 5 AST),HOU,0
