period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
2,119,782.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard REBOUND (Off:2 Def:0),false,false,"[1630224, 1630578, 1631106, 1641708]"
2,120,791.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,MISS Adams 5' Hook Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,121,793.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:3 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
2,122,795.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,MISS Adams 4' Layup,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,127,816.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,MISS Sheppard 8' Pullup Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,134,839.0,1610612745,HOU,missing_sub_in,1630256,Jae'Sean Tate,,MISS Tate 4' Driving Dunk,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,137,847.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,MISS Sheppard 30' 3PT Pullup Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,140,867.0,1610612742,DAL,missing_sub_in,202681,Kyrie Irving,,MISS Irving 11' Driving Floating Bank Jump Shot,false,false,"[202691, 203076, 203915, 1629023]"
2,141,869.0,1610612742,DAL,missing_sub_in,1629655,Daniel Gafford,,Gafford REBOUND (Off:1 Def:2),false,false,"[202691, 203076, 203915, 1629023]"
2,142,871.0,1610612742,DAL,missing_sub_in,1629655,Daniel Gafford,,Gafford Lost Ball Turnover (P1.T2),false,false,"[202691, 203076, 203915, 1629023]"
2,143,874.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,MISS Whitmore 25' 3PT Running Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,145,877.0,1610612742,DAL,missing_sub_in,1629655,Daniel Gafford,,Gafford S.FOUL (P2.T3) (J.Schroeder),false,false,"[202691, 203076, 203915, 1629023]"
2,148,877.0,1610612745,HOU,sub_direction_inverted,1630256,Jae'Sean Tate,,SUB: Sengun FOR Tate,false,true,"[1630224, 1630256, 1631106, 1641708]"
2,149,877.0,1610612745,HOU,sub_direction_inverted,203500,Steven Adams,,SUB: Thompson FOR Adams,false,true,"[203500, 1630224, 1630256, 1631106]"
2,153,890.0,1610612742,DAL,missing_sub_in,1629655,Daniel Gafford,,Gafford L.B.FOUL (P3.T4) (B.Forte),false,false,"[202691, 203076, 203915, 1629023]"
2,155,890.0,1610612742,DAL,missing_sub_in,1629655,Daniel Gafford,,Gafford T.FOUL (P3.T4) (B.Forte),false,false,"[202691, 203076, 203915, 1629023]"
2,158,890.0,1610612742,DAL,sub_direction_inverted,1629655,Daniel Gafford,,SUB: Davis FOR Gafford,false,true,"[202691, 203915, 1629023, 1629655]"
2,159,903.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,MISS Whitmore 19' Pullup Jump Shot,false,false,"[203500, 1630224, 1630256, 1631106]"
2,162,918.0,1610612745,HOU,missing_sub_in,1630578,Alperen Sengun,,Sengun P.FOUL (P1.T1) (P.Ransom),false,false,"[203500, 1630224, 1630256, 1631106]"
