flag_type,time,player_id,player_name,team,action_type,idle_seconds,description,resolution,full_details
lineup_violations,877.0,,,HOU,,,"","","{'time': 877.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
auto_out_events,877.0,1642263.0,Reed Sheppard,HOU,,,"","","{'time': 877.0, 'player_id': 1642263, 'player_name': 'Reed Sheppard', 'team': 'HOU', 'idle_time': 30.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,918.0,1631108.0,Max Christie,DAL,,188.0,"","","{'time': 918.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'idle_seconds': 188.0, 'last_action_time': 730.0}"
inactivity_periods,918.0,203957.0,Dante Exum,DAL,,213.79999999999995,"","","{'time': 918.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 213.79999999999995, 'last_action_time': 704.2}"
inactivity_periods,918.0,1628415.0,Dillon Brooks,HOU,,216.29999999999995,"","","{'time': 918.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 216.29999999999995, 'last_action_time': 701.7}"
missing_sub_ins,944.0,1642263.0,Reed Sheppard,HOU,6.0,,Sheppard S.FOUL (P1.T2) (J.Schroeder),FIRST_ACTION_INJECTION,"{'time': 944.0, 'player_id': 1642263, 'player_name': 'Reed Sheppard', 'team': 'HOU', 'action_type': 6, 'description': 'Sheppard S.FOUL (P1.T2) (J.Schroeder)', 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,944.0,,,HOU,,,"","","{'time': 944.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,944.0,1642263.0,Reed Sheppard,HOU,,,"","","{'time': 944.0, 'player_id': 1642263, 'player_name': 'Reed Sheppard', 'team': 'HOU', 'action': 'Sheppard S.FOUL (P1.T2) (J.Schroeder)'}"
auto_out_events,944.0,1628415.0,Dillon Brooks,HOU,,,"","","{'time': 944.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_time': 242.29999999999995, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,962.0,1629023.0,P.J. Washington,DAL,6.0,,Washington S.FOUL (P1.PN) (J.Schroeder),FIRST_ACTION_INJECTION,"{'time': 962.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'action_type': 6, 'description': 'Washington S.FOUL (P1.PN) (J.Schroeder)', 'resolution': 'FIRST_ACTION_INJECTION'}"
