gameId,nbaGameId,date,season,seasonType,nbaTeamId,team,opponent,offTeamId,defTeamId,pbpId,period,gameClock,wallClock,wallClockInt,description,msgType,actionType,option1,option2,option3,option4,homeScore,awayScore,playerId1,playerId2,playerId3,locX,locY,pts,pbpOrder,lastName1,statCategory1,lastName2,statCategory2,lastName3
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,68,1,6:28,2025-02-08 20:21:41Z,409010,Ja. Green Free Throw 2 of 2 (6 PTS),3,12,1,0,1,0,17,10,1630224,NA,NA,0,-80,1,46,Green,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,69,1,6:16,2025-02-08 20:21:54Z,409140,Davis 20' Pullup Jump Shot (11 PTS),1,79,2,0,0,0,17,11,203076,NA,NA,-147,138,2,47,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,70,1,5:59,2025-02-08 20:22:10Z,409300,Whitmore 1' Driving Dunk (2 PTS),1,9,2,0,0,4,19,11,1641715,NA,NA,1,8,2,48,Whitmore,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,71,1,5:42,2025-02-08 20:22:27Z,409470,MISS Irving 18' Jump Shot,2,1,2,0,0,0,19,13,202681,NA,NA,-164,82,0,49,Irving,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,72,1,5:40,2025-02-08 20:22:29Z,409490,Sengun REBOUND (Off:0 Def:2),4,0,0,0,0,0,19,13,1630578,NA,NA,-164,82,0,50,Sengun,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,73,1,5:30,2025-02-08 20:22:43Z,409630,Ja. Green Out of Bounds Lost Ball Turnover (P1.T1),5,40,0,0,0,0,19,13,1630224,NA,1628954,-37,-8,0,51,Green,TO,NA,NA,Schroeder
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,74,1,5:10,2025-02-08 20:23:14Z,409940,Ja. Green S.FOUL (P1.T1) (P.Ransom),6,2,0,0,2,0,19,13,1630224,1629023,1627963,-69,35,0,52,Green,PF,Washington,NA,Ransom
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,76,1,5:10,2025-02-08 20:23:47Z,410270,Washington Free Throw 1 of 2 (3 PTS),3,11,1,0,1,2,19,13,1629023,NA,NA,0,-80,1,53,Washington,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,77,1,5:10,2025-02-08 20:23:49Z,410290,SUB: Dinwiddie FOR Irving,8,0,0,0,0,0,20,13,202681,203915,NA,0,-80,0,54,Irving,NA,Dinwiddie,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,79,1,5:10,2025-02-08 20:24:22Z,410620,Washington Free Throw 2 of 2 (4 PTS),3,12,1,0,1,2,20,13,1629023,NA,NA,0,-80,1,55,Washington,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,80,1,4:58,2025-02-08 20:24:37Z,410770,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),1,108,2,0,0,4,21,13,1641708,1630578,NA,10,4,2,56,Thompson,PTS,Sengun,AST,NA
